#           k/h    P           
    0.15759E-01    0.13885E+05
    0.16077E-01    0.13892E+05
    0.16402E-01    0.13894E+05
    0.16734E-01    0.13889E+05
    0.17072E-01    0.13879E+05
    0.17416E-01    0.13863E+05
    0.17768E-01    0.13840E+05
    0.18127E-01    0.13812E+05
    0.18493E-01    0.13777E+05
    0.18867E-01    0.13736E+05
    0.19248E-01    0.13688E+05
    0.19637E-01    0.13634E+05
    0.20034E-01    0.13574E+05
    0.20438E-01    0.13507E+05
    0.20851E-01    0.13433E+05
    0.21272E-01    0.13353E+05
    0.21702E-01    0.13266E+05
    0.22141E-01    0.13172E+05
    0.22588E-01    0.13072E+05
    0.23044E-01    0.12966E+05
    0.23510E-01    0.12854E+05
    0.23985E-01    0.12735E+05
    0.24469E-01    0.12610E+05
    0.24964E-01    0.12479E+05
    0.25468E-01    0.12343E+05
    0.25982E-01    0.12201E+05
    0.26507E-01    0.12054E+05
    0.27043E-01    0.11902E+05
    0.27589E-01    0.11745E+05
    0.28146E-01    0.11584E+05
    0.28715E-01    0.11418E+05
    0.29295E-01    0.11249E+05
    0.29887E-01    0.11077E+05
    0.30490E-01    0.10902E+05
    0.31106E-01    0.10724E+05
    0.31735E-01    0.10544E+05
    0.32376E-01    0.10363E+05
    0.33030E-01    0.10180E+05
    0.33697E-01    0.99968E+04
    0.34378E-01    0.98134E+04
    0.35072E-01    0.96303E+04
    0.35781E-01    0.94479E+04
    0.36504E-01    0.92668E+04
    0.37241E-01    0.90875E+04
    0.37993E-01    0.89106E+04
    0.38761E-01    0.87366E+04
    0.39544E-01    0.85659E+04
    0.40343E-01    0.83988E+04
    0.41158E-01    0.82356E+04
    0.41989E-01    0.80764E+04
    0.42838E-01    0.79215E+04
    0.43703E-01    0.77710E+04
    0.44586E-01    0.76254E+04
    0.45486E-01    0.74853E+04
    0.46405E-01    0.73510E+04
    0.47343E-01    0.72231E+04
    0.48299E-01    0.71018E+04
    0.49275E-01    0.69866E+04
    0.50270E-01    0.68769E+04
    0.51286E-01    0.67722E+04
    0.52322E-01    0.66720E+04
    0.53379E-01    0.65759E+04
    0.54457E-01    0.64833E+04
    0.55557E-01    0.63938E+04
    0.56680E-01    0.63070E+04
    0.57825E-01    0.62222E+04
    0.58993E-01    0.61391E+04
    0.60184E-01    0.60569E+04
    0.61400E-01    0.59752E+04
    0.62641E-01    0.58932E+04
    0.63906E-01    0.58100E+04
    0.65197E-01    0.57249E+04
    0.66514E-01    0.56371E+04
    0.67858E-01    0.55455E+04
    0.69229E-01    0.54492E+04
    0.70627E-01    0.53476E+04
    0.72054E-01    0.52402E+04
    0.73510E-01    0.51267E+04
    0.74994E-01    0.50070E+04
    0.76509E-01    0.48815E+04
    0.78055E-01    0.47507E+04
    0.79632E-01    0.46153E+04
    0.81241E-01    0.44765E+04
    0.82882E-01    0.43353E+04
    0.84556E-01    0.41929E+04
    0.86264E-01    0.40508E+04
    0.88007E-01    0.39101E+04
    0.89785E-01    0.37722E+04
    0.91598E-01    0.36381E+04
    0.93449E-01    0.35092E+04
    0.95337E-01    0.33864E+04
    0.97263E-01    0.32709E+04
    0.99227E-01    0.31635E+04
    0.10123E+00    0.30649E+04
    0.10328E+00    0.29757E+04
    0.10536E+00    0.28959E+04
    0.10749E+00    0.28252E+04
    0.10966E+00    0.27631E+04
    0.11188E+00    0.27082E+04
    0.11414E+00    0.26593E+04
    0.11644E+00    0.26146E+04
    0.11880E+00    0.25723E+04
    0.12120E+00    0.25306E+04
    0.12365E+00    0.24876E+04
    0.12614E+00    0.24418E+04
    0.12869E+00    0.23919E+04
    0.13129E+00    0.23371E+04
    0.13394E+00    0.22768E+04
    0.13665E+00    0.22113E+04
    0.13941E+00    0.21410E+04
    0.14223E+00    0.20670E+04
    0.14510E+00    0.19906E+04
    0.14803E+00    0.19133E+04
    0.15102E+00    0.18371E+04
    0.15407E+00    0.17637E+04
    0.15718E+00    0.16951E+04
    0.16036E+00    0.16329E+04
    0.16360E+00    0.15780E+04
    0.16690E+00    0.15307E+04
    0.17028E+00    0.14903E+04
    0.17371E+00    0.14558E+04
    0.17722E+00    0.14256E+04
    0.18080E+00    0.13981E+04
    0.18446E+00    0.13715E+04
    0.18818E+00    0.13441E+04
    0.19198E+00    0.13144E+04
    0.19586E+00    0.12812E+04
    0.19982E+00    0.12440E+04
    0.20386E+00    0.12036E+04
    0.20797E+00    0.11610E+04
    0.21218E+00    0.11179E+04
    0.21646E+00    0.10761E+04
    0.22083E+00    0.10370E+04
    0.22530E+00    0.10016E+04
    0.22985E+00    0.97065E+03
    0.23449E+00    0.94398E+03
    0.23923E+00    0.92090E+03
    0.24406E+00    0.90025E+03
    0.24899E+00    0.88058E+03
    0.25402E+00    0.86047E+03
    0.25915E+00    0.83883E+03
    0.26439E+00    0.81529E+03
    0.26973E+00    0.79025E+03
    0.27518E+00    0.76459E+03
    0.28074E+00    0.73935E+03
    0.28641E+00    0.71549E+03
    0.29219E+00    0.69380E+03
    0.29810E+00    0.67458E+03
    0.30412E+00    0.65747E+03
    0.31026E+00    0.64166E+03
    0.31653E+00    0.62630E+03
    0.32292E+00    0.61070E+03
    0.32945E+00    0.59447E+03
    0.33610E+00    0.57767E+03
    0.34289E+00    0.56081E+03
    0.34982E+00    0.54457E+03
    0.35689E+00    0.52939E+03
    0.36409E+00    0.51542E+03
    0.37145E+00    0.50252E+03
    0.37895E+00    0.49030E+03
    0.38661E+00    0.47827E+03
    0.39442E+00    0.46617E+03
    0.40239E+00    0.45402E+03
    0.41052E+00    0.44202E+03
    0.41881E+00    0.43047E+03
    0.42727E+00    0.41954E+03
    0.43590E+00    0.40926E+03
    0.44471E+00    0.39942E+03
    0.45369E+00    0.38983E+03
    0.46286E+00    0.38036E+03
    0.47221E+00    0.37102E+03
    0.48174E+00    0.36194E+03
    0.49148E+00    0.35320E+03
    0.50141E+00    0.34483E+03
    0.51153E+00    0.33678E+03
    0.52187E+00    0.32894E+03
    0.53241E+00    0.32128E+03
    0.54317E+00    0.31378E+03
    0.55414E+00    0.30651E+03
    0.56533E+00    0.29950E+03
    0.57675E+00    0.29270E+03
    0.58840E+00    0.28609E+03
    0.60029E+00    0.27965E+03
    0.61242E+00    0.27337E+03
    0.62479E+00    0.26727E+03
    0.63741E+00    0.26134E+03
    0.65029E+00    0.25558E+03
    0.66342E+00    0.24997E+03
    0.67683E+00    0.24451E+03
    0.69050E+00    0.23918E+03
    0.70445E+00    0.23399E+03
    0.71868E+00    0.22892E+03
    0.73320E+00    0.22398E+03
    0.74801E+00    0.21916E+03
    0.76312E+00    0.21446E+03
    0.77854E+00    0.20986E+03
    0.79426E+00    0.20538E+03
    0.81031E+00    0.20100E+03
    0.82668E+00    0.19672E+03
    0.84338E+00    0.19253E+03
    0.86041E+00    0.18844E+03
    0.87780E+00    0.18444E+03
    0.89553E+00    0.18052E+03
    0.91362E+00    0.17669E+03
    0.93208E+00    0.17294E+03
    0.95091E+00    0.16926E+03
    0.97011E+00    0.16566E+03
    0.98971E+00    0.16214E+03
    0.10097E+01    0.15868E+03
    0.10301E+01    0.15529E+03
    0.10509E+01    0.15196E+03
    0.10721E+01    0.14870E+03
    0.10938E+01    0.14550E+03
    0.11159E+01    0.14236E+03
    0.11384E+01    0.13927E+03
    0.11614E+01    0.13625E+03
    0.11849E+01    0.13327E+03
    0.12088E+01    0.13036E+03
    0.12333E+01    0.12749E+03
    0.12582E+01    0.12467E+03
    0.12836E+01    0.12190E+03
    0.13095E+01    0.11918E+03
    0.13360E+01    0.11651E+03
    0.13630E+01    0.11388E+03
    0.13905E+01    0.11130E+03
    0.14186E+01    0.10876E+03
    0.14472E+01    0.10627E+03
    0.14765E+01    0.10381E+03
    0.15063E+01    0.10140E+03
    0.15367E+01    0.99032E+02
    0.15678E+01    0.96702E+02
    0.15994E+01    0.94410E+02
    0.16318E+01    0.92158E+02
    0.16647E+01    0.89944E+02
    0.16984E+01    0.87768E+02
    0.17327E+01    0.85628E+02
    0.17677E+01    0.83526E+02
    0.18034E+01    0.81459E+02
    0.18398E+01    0.79428E+02
    0.18770E+01    0.77433E+02
    0.19149E+01    0.75473E+02
    0.19536E+01    0.73547E+02
    0.19930E+01    0.71655E+02
    0.20333E+01    0.69797E+02
    0.20744E+01    0.67972E+02
    0.21163E+01    0.66181E+02
    0.21590E+01    0.64423E+02
    0.22026E+01    0.62697E+02
    0.22471E+01    0.61003E+02
    0.22925E+01    0.59342E+02
    0.23388E+01    0.57712E+02
    0.23861E+01    0.56114E+02
    0.24343E+01    0.54547E+02
    0.24835E+01    0.53011E+02
    0.25336E+01    0.51506E+02
    0.25848E+01    0.50031E+02
    0.26370E+01    0.48586E+02
    0.26903E+01    0.47171E+02
    0.27447E+01    0.45786E+02
    0.28001E+01    0.44430E+02
    0.28567E+01    0.43104E+02
    0.29144E+01    0.41806E+02
    0.29733E+01    0.40537E+02
    0.30333E+01    0.39296E+02
    0.30946E+01    0.38084E+02
    0.31571E+01    0.36899E+02
    0.32209E+01    0.35741E+02
    0.32860E+01    0.34611E+02
    0.33523E+01    0.33508E+02
    0.34201E+01    0.32433E+02
    0.34892E+01    0.31383E+02
    0.35596E+01    0.30361E+02
    0.36316E+01    0.29364E+02
    0.37049E+01    0.28394E+02
    0.37798E+01    0.27448E+02
    0.38561E+01    0.26528E+02
    0.39340E+01    0.25633E+02
    0.40135E+01    0.24762E+02
    0.40946E+01    0.23915E+02
    0.41773E+01    0.23091E+02
    0.42617E+01    0.22290E+02
    0.43478E+01    0.21512E+02
    0.44356E+01    0.20755E+02
    0.45252E+01    0.20020E+02
    0.46166E+01    0.19306E+02
    0.47099E+01    0.18612E+02
    0.48050E+01    0.17939E+02
    0.49021E+01    0.17285E+02
    0.50011E+01    0.16652E+02
    0.51021E+01    0.16038E+02
    0.52052E+01    0.15443E+02
    0.53104E+01    0.14868E+02
    0.54176E+01    0.14313E+02
    0.55271E+01    0.13776E+02
    0.56387E+01    0.13259E+02
    0.57526E+01    0.12760E+02
    0.58689E+01    0.12279E+02
    0.59874E+01    0.11816E+02
